Sleep Score 4 Weeks,Score,Resting Heart Rate,Body Battery,Pulse Ox,Respiration,HRV Status,Quality,Duration,Bedtime,Wake Time
2025-11-28,79,56,59,--,15.65,46,Fair,6h 56min,1:27,8:36
2025-11-27,77,56,55,--,16.14,46,Fair,6h 47min,2:06,9:10
2025-11-26,84,56,68,--,16.06,46,Good,8h 12min,0:32,9:13
2025-11-25,83,57,69,--,15.88,46,Good,7h 45min,0:45,9:13
2025-11-24,62,56,52,--,16.45,47,Fair,5h 0min,2:43,7:47
2025-11-23,73,57,66,--,15.87,47,Fair,8h 39min,0:11,9:41
2025-11-22,56,59,42,--,15.38,47,Poor,6h 53min,0:47,8:52
2025-11-21,81,56,63,--,15.84,47,Good,7h 59min,23:05,7:46
2025-11-20,79,57,68,--,15.69,47,Fair,8h 25min,23:56,9:00
2025-11-19,84,57,68,--,16.58,47,Good,8h 9min,0:29,9:06
2025-11-18,64,53,52,--,16.59,47,Fair,5h 19min,0:59,7:46
2025-11-17,73,47,58,--,16.73,46,Fair,5h 43min,3:23,9:08
2025-11-16,71,57,53,--,16.4,45,Fair,6h 59min,2:04,9:23
2025-11-15,76,58,57,--,15.88,46,Fair,7h 13min,1:42,9:31
2025-11-14,70,58,53,--,15.89,46,Fair,5h 23min,3:26,8:52
2025-11-13,61,57,52,--,15.63,45,Fair,6h 14min,2:32,9:01
2025-11-12,80,57,58,--,15.79,45,Good,7h 17min,1:07,8:41
2025-11-11,62,58,53,--,15.99,45,Fair,6h 11min,1:15,7:57
2025-11-10,76,56,62,--,16.17,44,Fair,7h 58min,0:24,8:55
2025-11-09,69,57,64,--,15.26,44,Fair,7h 14min,1:35,9:56
2025-11-08,54,59,45,--,16.83,44,Poor,6h 57min,2:08,9:13
2025-11-07,43,59,27,--,16.27,43,Poor,5h 58min,2:42,9:08
2025-11-06,82,55,65,--,15.9,43,Good,7h 42min,0:14,8:14
2025-11-05,84,57,70,--,16.19,43,Good,7h 48min,0:31,8:29
2025-11-04,62,59,40,--,15.83,42,Fair,6h 44min,23:12,7:39
2025-11-03,83,56,56,--,16.14,42,Good,7h 7min,0:51,8:05
2025-11-02,82,59,65,--,15.87,42,Good,8h 52min,23:56,9:10
2025-11-01,64,60,37,--,16.15,42,Fair,6h 34min,1:12,8:24
2025-10-31,69,58,57,--,15.78,44,Fair,7h 19min,0:30,9:13
2025-10-30,72,58,49,--,15.64,45,Fair,6h 56min,1:04,8:27
2025-10-29,77,58,49,--,15.99,45,Fair,7h 3min,0:46,8:06
2025-10-28,73,58,45,--,16.14,47,Fair,6h 29min,0:27,7:33
2025-10-27,75,56,63,--,16.01,47,Fair,7h 13min,0:17,8:17
2025-10-26,81,55,68,--,16.31,46,Good,7h 24min,0:22,8:15
2025-10-25,74,56,60,--,15.79,47,Fair,6h 43min,1:52,9:02
2025-10-24,86,55,66,--,15.98,46,Good,7h 31min,0:43,8:27
2025-10-23,78,58,57,--,16.02,46,Fair,7h 28min,0:41,8:49
2025-10-22,82,54,69,--,16.38,45,Good,8h 4min,0:27,8:59
2025-10-21,63,56,54,--,15.92,44,Fair,6h 10min,0:41,7:51
2025-10-20,78,57,47,--,16.44,45,Fair,8h 11min,0:14,8:46
2025-10-19,86,55,77,--,15.6,45,Good,7h 44min,0:52,8:42
2025-10-18,56,59,40,--,16.51,44,Poor,6h 39min,0:47,8:11
2025-10-17,83,55,77,--,15.62,44,Good,10h 3min,22:33,8:49
2025-10-16,71,59,34,--,15.75,44,Fair,6h 31min,1:34,8:40
2025-10-15,78,57,63,--,15.94,46,Fair,7h 23min,0:34,8:12
2025-10-14,74,57,57,--,16.3,47,Fair,5h 43min,2:52,8:36
2025-10-13,51,60,38,--,16.04,46,Poor,7h 47min,23:46,8:54
2025-10-12,90,56,69,--,15.73,48,Excellent,8h 20min,0:38,9:17
2025-10-11,62,59,41,--,15.41,49,Fair,5h 33min,1:47,8:02
2025-10-10,84,55,68,--,15.72,49,Good,7h 26min,0:56,8:41
2025-10-09,83,57,60,--,15.39,48,Good,7h 38min,0:37,8:39
2025-10-08,75,56,65,--,15.77,47,Fair,7h 3min,0:50,8:32
2025-10-07,78,57,55,--,15.25,45,Fair,6h 45min,0:09,7:42
2025-10-06,80,56,60,--,16.03,45,Good,8h 10min,0:04,9:02
2025-10-05,81,56,78,--,15.87,45,Good,7h 59min,0:16,9:06
2025-10-04,68,59,39,--,16.13,45,Fair,7h 1min,0:52,9:02
